Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,url
Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.","December 4, 2009",10154,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/benchmark-il.html
AmTrust Bank,Cleveland,OH,29776,New York Community Bank,"December 4, 2009",10155,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amtrust.html
The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,"December 4, 2009",10153,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tattnall.html
First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,"December 4, 2009",10157,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsecurity.html
The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,"December 4, 2009",10152,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/buckheadcommunity.html
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,"November 20, 2009",10151,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commercesw-fl.html
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,"November 13, 2009",10150,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pacificcoastnatl.html
Orion Bank,Naples,FL,22427,IBERIABANK,"November 13, 2009",10149,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/orion-fl.html
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,"November 13, 2009",10148,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centuryfsb.html
United Commercial Bank,San Francisco,CA,32469,East West Bank,"November 6, 2009",10147,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ucb.html
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,"November 6, 2009",10146,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gateway-mo.html
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.","November 6, 2009",10143,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/prosperan.html
Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,"November 6, 2009",10144,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homefsb-mi.html
United Security Bank,Sparta,GA,22286,Ameris Bank,"November 6, 2009",10145,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unitedsecurity-ga.html
North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,"October 30, 2009",10138,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northhouston-tx.html
Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,"October 30, 2009",10142,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/madisonville-tx.html
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,"October 30, 2009",10141,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens-teague.html
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,"October 30, 2009",10140,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/park-il.html
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,"October 30, 2009",10139,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pacificnational-ca.html
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,"October 30, 2009",10134,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/calnational.html
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,"October 30, 2009",10135,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sandiegonational.html
Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,"October 30, 2009",10137,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-lemont.html
"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,"October 30, 2009",10136,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankusa-az.html
First DuPage Bank,Westmont,IL,35038,First Midwest Bank,"October 23, 2009",10128,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstdupage.html
Riverview Community Bank,Otsego,MN,57525,Central Bank,"October 23, 2009",10133,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverview-mn.html
Bank of Elmwood,Racine,WI,18321,Tri City National Bank,"October 23, 2009",10132,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/elmwood.html
Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,"October 23, 2009",10129,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/flagship.html
Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,"October 23, 2009",10131,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hillcrest-fl.html
American United Bank,Lawrenceville,GA,57794,Ameris Bank,"October 23, 2009",10127,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americanunited.html
Partners Bank,Naples,FL,57959,Stonegate Bank,"October 23, 2009",10130,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/partners-fl.html
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,"October 16, 2009",10126,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sanjoaquin.html
Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,"October 2, 2009",10123,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/scnb-co.html
Jennings State Bank,Spring Grove,MN,11416,Central Bank,"October 2, 2009",10124,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/jennings-mn.html
Warren Bank,Warren,MI,34824,The Huntington National Bank,"October 2, 2009",10125,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/warren-mi.html
Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.","September 25, 2009",10122,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/georgian.html
"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.","September 18, 2009",10121,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/irwin-ky.html
Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.","September 18, 2009",10120,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/irwin-in.html
Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,"September 11, 2009",10119,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/venture-wa.html
Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,"September 11, 2009",10118,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/brickwell-mn.html
"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.","September 11, 2009",10117,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/corus.html
First State Bank,Flagstaff,AZ,34875,Sunwest Bank,"September 4, 2009",10114,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firststate-az.html
Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,"September 4, 2009",10115,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/platinum-il.html
Vantus Bank,Sioux City,IA,27732,Great Southern Bank,"September 4, 2009",10116,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vantus.html
InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.","September 4, 2009",10113,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/inbank.html
First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,"September 4, 2009",10112,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankkc-mo.html
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,"August 28, 2009",10110,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/affinity-ca.html
Mainstreet Bank,Forest Lake,MN,1909,Central Bank,"August 28, 2009",10111,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstreet-mn.html
Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),"August 28, 2009",10109,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bradford-md.html
Guaranty Bank,Austin,TX,32618,BBVA Compass,"August 21, 2009",10105,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/guaranty-tx.html
CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,"August 21, 2009",10106,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/capitalsouth.html
First Coweta Bank,Newnan,GA,57702,United Bank,"August 21, 2009",10108,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coweta.html
ebank,Atlanta,GA,34682,"Stearns Bank, N.A.","August 21, 2009",10107,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ebank.html
Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,"August 14, 2009",10100,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-nv.html
Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,"August 14, 2009",10101,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-az.html
"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,"August 14, 2009",10102,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/union-az.html
Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)","August 14, 2009",10103,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/colonial-al.html
Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.","August 14, 2009",10104,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/dwelling.html
Community First Bank,Prineville,OR,23268,Home Federal Bank,"August 7, 2009",10092,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-prineville.html
Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.","August 7, 2009",10099,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community-venice.html
First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.","August 7, 2009",10098,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-sarasota.html
Mutual Bank,Harvey,IL,18659,United Central Bank,"July 31, 2009",10094,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mutual-harvey.html
First BankAmericano,Elizabeth,NJ,34270,Crown Bank,"July 31, 2009",10097,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americano.html
Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.","July 31, 2009",10096,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peoplescommunity-oh.html
Integrity Bank,Jupiter,FL,57604,Stonegate Bank,"July 31, 2009",10095,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/integrity-fl.html
First State Bank of Altus,Altus,OK,9873,Herring Bank,"July 31, 2009",10093,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-altus.html
Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,"July 24, 2009",10088,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-jones.html
Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,"July 24, 2009",10087,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-houston.html
Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,"July 24, 2009",10085,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-bibb.html
Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,"July 24, 2009",10090,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-metro.html
Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,"July 24, 2009",10089,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-fulton.html
Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,"July 24, 2009",10086,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sb-gwinnett.html
Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.","July 24, 2009",10091,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waterford.html
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,"July 17, 2009",10082,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/temecula.html
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,"July 17, 2009",10083,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vineyard.html
BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.","July 17, 2009",10081,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankfirst.html
First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,"July 17, 2009",10084,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/piedmont.html
Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,"July 10, 2009",10080,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wyoming.html
Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,"July 2, 2009",10074,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/founders.html
Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,"July 2, 2009",10079,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/millennium.html
First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.","July 2, 2009",10078,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/danville.html
The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,"July 2, 2009",10073,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/elizabeth.html
Rock River Bank,Oregon,IL,15302,The Harvard State Bank,"July 2, 2009",10075,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockriver.html
First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,"July 2, 2009",10077,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/winchester.html
John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,"July 2, 2009",10076,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/warner.html
Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,"June 26, 2009",10072,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mirae.html
MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,"June 26, 2009",10071,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metropacific.html
Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.","June 26, 2009",10070,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/horizon.html
Neighborhood Community Bank,Newnan,GA,35285,CharterBank,"June 26, 2009",10069,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/neighbor.html
Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,"June 26, 2009",10068,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communityga.html
First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,"June 19, 2009",10066,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/anthony.html
Cooperative Bank,Wilmington,NC,27837,First Bank,"June 19, 2009",10065,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cooperative.html
Southern Community Bank,Fayetteville,GA,35251,United Community Bank,"June 19, 2009",10067,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/scb.html
Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,"June 5, 2009",10064,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lincolnwood.html
Citizens National Bank,Macomb,IL,5757,Morton Community Bank,"May 22, 2009",10063,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensnational.html
Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,"May 22, 2009",10062,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/strategiccapital.html
"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,"May 21, 2009",10061,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankunited.html
Westsound Bank,Bremerton,WA,34843,Kitsap Bank,"May 8, 2009",10060,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westsound.html
America West Bank,Layton,UT,35461,Cache Valley Bank,"May 1, 2009",10057,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americawest.html
Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,"May 1, 2009",10058,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens.html
"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,"May 1, 2009",10059,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverton.html
First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.","April 24, 2009",10055,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankidaho.html
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,"April 24, 2009",10054,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/beverlyhills.html
Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,"April 24, 2009",10056,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/michiganheritage.html
American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,"April 24, 2009",10053,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amsouthern.html
Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,"April 17, 2009",10051,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/greatbasin.html
American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,"April 17, 2009",10052,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amsterling.html
New Frontier Bank,Greeley,CO,34881,No Acquirer,"April 10, 2009",10050,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newfrontier.html
Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,"April 10, 2009",10049,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/capefear.html
Omni National Bank,Atlanta,GA,22238,No Acquirer,"March 27, 2009",10048,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/omni.html
"TeamBank, NA",Paola,KS,4754,Great Southern Bank,"March 20, 2009",10046,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/teambank.html
Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,"March 20, 2009",10045,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coloradonational.html
FirstCity Bank,Stockbridge,GA,18243,No Acquirer,"March 20, 2009",10047,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcity.html
Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,"March 6, 2009",10044,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/freedomga.html
Security Savings Bank,Henderson,NV,34820,Bank of Nevada,"February 27, 2009",10043,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitysavings.html
Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.","February 27, 2009",10042,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritagebank.html
Silver Falls Bank,Silverton,OR,35399,Citizens Bank,"February 20, 2009",10041,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverfalls.html
Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,"February 13, 2009",10040,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pinnacle.html
Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,"February 13, 2009",10037,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cornbelt.html
Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,"February 13, 2009",10038,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverside.html
Sherman County Bank,Loup City,NE,5431,Heritage Bank,"February 13, 2009",10039,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sherman.html
County Bank,Merced,CA,22574,Westamerica Bank,"February 6, 2009",10034,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/county.html
Alliance Bank,Culver City,CA,23124,California Bank & Trust,"February 6, 2009",10035,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/alliance.html
FirstBank Financial Services,McDonough,GA,57017,Regions Bank,"February 6, 2009",10036,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbank.html
Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.","January 30, 2009",10032,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ocala.html
Suburban FSB,Crofton,MD,30763,Bank of Essex,"January 30, 2009",10033,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/suburban.html
MagnetBank,Salt Lake City,UT,58001,No Acquirer,"January 30, 2009",10031,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/magnet.html
1st Centennial Bank,Redlands,CA,33025,First California Bank,"January 23, 2009",10030,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centennial.html
Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,"January 16, 2009",10029,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/clark.html
National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,"January 16, 2009",10028,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commerce.html
"Sanderson State Bank

En Espa̱ol
",Sanderson,TX,11568,The Pecos County State Bank,"December 12, 2008",10026,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sanderson.html
Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)","December 12, 2008",10027,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/haventrust.html
First Georgia Community Bank,Jackson,GA,34301,United Bank,"December 5, 2008",10025,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstga.html
PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.","November 21, 2008",10024,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pff.html
Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.","November 21, 2008",10023,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/downey.html
Community Bank,Loganville,GA,16490,Bank of Essex,"November 21, 2008",10022,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/community.html
Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,"November 7, 2008",10020,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitypacific.html
"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,"November 7, 2008",10021,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/franklinbank.html
Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,"October 31, 2008",10019,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/freedom.html
Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.","October 24, 2008",10018,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/alpha.html
Meridian Bank,Eldred,IL,13789,National Bank,"October 10, 2008",10017,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/meridian.html
Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,"October 10, 2008",10016,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstreet.html
Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,"September 25, 2008",10015,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wamu.html
Ameribank,Northfork,WV,6782,"The Citizens Savings Bank ********** Pioneer Community Bank, Inc.","September 19, 2008",10014,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ameribank.html
"Silver State Bank

En Espa̱ol
",Henderson,NV,34194,Nevada State Bank,"September 5, 2008",10013,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverstate.html
Integrity Bank,Alpharetta,GA,35469,Regions Bank,"August 29, 2008",10012,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/integrity.html
Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,"August 22, 2008",10011,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/columbian.html
First Priority Bank,Bradenton,FL,57523,SunTrust Bank,"August 1, 2008",10010,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstprioritybank.html
"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,"July 25, 2008",10009,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritage.html
First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,"July 25, 2008",10008,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbnv.html
IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB","July 11, 2008",10007,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/indymac.html
"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,"May 30, 2008",10006,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/first-integrity-bank.html
"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,"May 9, 2008",10005,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/anb.html
Hume Bank,Hume,MO,1971,Security Bank,"March 7, 2008",10004,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hume.html
Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,"January 25, 2008",10003,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/douglass.html
Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,"October 4, 2007",10002,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/miamivalley.html
NetBank,Alpharetta,GA,32575,ING DIRECT,"September 28, 2007",10001,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/netbank.html
Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,"February 2, 2007",10000,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metropolitansb.html
Bank of Ephraim,Ephraim,UT,1249,Far West Bank,"June 25, 2004",4665,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ephraim.html
Reliance Bank,White Plains,NY,26778,Union State Bank,"March 19, 2004",4664,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/reliance.html
Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,"March 12, 2004",4663,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gnb.html
Dollar Savings Bank,Newark,NJ,31330,No Acquirer,"February 14, 2004",6006,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/dollar.html
Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,"November 14, 2003",4662,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pulaski.html
First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,"May 9, 2003",4661,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/blanchardville.html
Southern Pacific Bank,Torrance,CA,27094,Beal Bank,"February 7, 2003",4660,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/spbank.html
